BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
1368.0,38.0,0.54,,1.0,36,2542.0,100.0,2.0,2.0,,1368.0,0.6,,0
7555.0,89.0,1.0,3.4,6.5,85,7555.0,89.0,1.0,1.0,,,3.44,7555.0,0
2860.0,57.0,0.67,,1.0,27,4275.0,95.0,1.0,2.0,,2860.0,0.6,,0
3178.0,56.0,1.03,,4.8,25,3080.0,140.0,1.0,2.0,,2087.0,2.43,,0
3360.0,60.0,0.9,,2.0,3,3742.0,100.0,1.0,2.0,,3360.0,0.9,,1
2484.0,58.0,0.88,,2.0,22,2810.0,112.5,1.0,2.0,,2484.0,1.35,,0
1728.0,36.0,0.86,,2.0,28,2005.0,100.25,2.0,2.0,,1152.0,0.9,,0
4560.0,76.0,1.92,,4.8,36,2375.0,95.0,1.0,3.0,,4560.0,2.43,,0
1872.0,33.0,0.62,,2.0,34,3040.0,95.0,1.0,2.0,,1188.0,0.9,,0
3106.0,49.0,1.1,,2.0,12,2818.0,112.72,1.0,3.0,,3106.0,0.9,,0
2600.0,65.0,0.77,1.0,2.4,145,3363.0,134.5,2.0,2.0,,2600.0,,,0
1500.0,34.0,0.74,,4.8,32,2032.0,101.58,1.0,2.0,,1500.0,3.44,,0
2500.0,45.0,0.97,,2.0,140,2574.0,94.75,1.0,3.0,,2500.0,0.9,,0
3220.0,78.0,1.03,,2.0,22,3135.0,125.42,2.0,2.0,,3220.0,1.1,,0
1116.0,31.0,0.65,,2.0,40,1710.0,95.0,1.0,2.0,,1116.0,0.9,,1
2592.0,36.0,0.98,,1.0,106,2651.0,98.17,1.0,3.0,,1944.0,0.6,,0
1899.0,37.0,0.9,,2.0,7,2115.0,90.0,1.0,2.0,,1332.0,0.9,,0
4400.0,100.0,1.33,,4.8,227,3300.0,114.08,1.0,2.0,,2400.0,3.44,2000.0,0
1890.0,35.0,0.95,,2.0,169,2000.0,103.0,1.0,2.0,,1260.0,1.25,,0
9336.0,90.0,1.08,,3.0,21,8645.0,93.42,1.0,1.0,,,3.0,9336.0,0
21330.0,118.58,1.68,,6.0,9,12691.0,148.6,1.0,1.0,,,6.0,,0
3375.0,45.0,1.35,,4.8,42,2500.0,100.0,1.0,3.0,,3375.0,3.44,,0
1312.0,34.0,0.52,,4.8,10,2500.0,100.0,1.0,2.0,,1312.0,2.43,,0
1520.0,30.0,0.24,,2.0,47,6271.0,125.0,1.0,2.0,,1520.0,1.1,,0
21600.0,86.83,4.19,,4.8,54,5158.0,100.0,1.0,5.0,,21600.0,3.44,,0
2066.0,45.0,0.68,,2.0,23,3025.0,100.0,1.0,1.0,,945.0,0.9,,0
4773.0,90.0,2.0,,4.8,1,2390.0,90.61,1.0,3.0,,2383.0,3.44,2390.0,0
1948.0,26.0,0.52,,1.0,266,3742.0,100.0,2.0,1.75,,1188.0,0.6,,0
3100.0,50.0,1.03,,1.0,20,3000.0,100.0,1.0,3.0,,3100.0,0.6,,0
1136.0,34.0,0.49,,2.0,58,2310.0,92.42,1.0,2.0,,1136.0,0.9,,1
