BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,Lot,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Complaint Type
2624.0,65.0,0.73,,4.8,71,3619.0,144.75,2.0,2.0,,2624.0,3.44,,0
2707.0,66.0,1.08,,1.0,950,2500.0,100.0,1.0,2.0,,2707.0,0.6,,0
3654.0,52.0,1.63,,2.0,2,2240.0,72.0,1.0,3.0,,3654.0,0.9,,0
3081.0,47.0,1.23,,4.8,24,2500.0,100.0,1.0,2.0,,2070.0,2.43,,0
2310.0,43.0,0.97,,1.0,51,2375.0,95.0,1.0,2.0,,1680.0,0.6,,0
1278.0,34.0,0.47,,2.0,64,2700.0,100.0,2.0,2.0,,1278.0,0.9,,0
1116.0,35.0,0.65,,2.0,61,1710.0,95.0,1.0,2.0,,1116.0,1.25,,0
2880.0,48.0,1.15,,4.8,96,2500.0,100.0,1.0,2.0,,1920.0,3.44,,0
1596.0,42.0,0.86,,2.0,10,1853.0,95.0,1.0,2.0,,1596.0,0.9,,0
3213.0,51.0,1.35,,2.0,28,2375.0,95.0,1.0,2.0,,2142.0,0.9,,0
3260.0,61.0,1.26,,4.8,1550,2583.0,130.0,1.0,3.0,,3260.0,2.43,,0
16400.0,95.42,7.36,,4.8,44,2228.0,96.4,1.0,5.0,,15200.0,3.44,1200.0,0
1357.0,23.0,0.9,,3.0,48,1510.0,48.74,1.0,2.5,,1357.0,3.0,,0
4200.0,70.0,1.69,,2.0,56,2490.0,99.58,2.0,2.0,,2800.0,1.25,,0
,,,,3.0,19,2970.0,116.2,,,,,3.0,,0
9000.0,90.0,2.67,,4.8,56,3375.0,90.0,1.0,4.0,,9000.0,3.44,,0
3000.0,50.0,1.26,,3.0,26,2375.0,95.0,1.0,3.0,,3000.0,3.0,,0
1760.0,44.67,0.78,,2.0,49,2259.0,112.0,1.0,2.0,,1760.0,0.9,,0
2235.0,45.0,1.19,,4.8,36,1875.0,100.0,1.0,3.0,,2235.0,3.44,,0
3509.0,65.0,1.28,,2.0,26,2750.0,110.0,1.0,2.75,,3509.0,2.0,,0
1172.0,24.0,0.32,,1.0,42,3673.0,122.42,2.0,2.0,,1172.0,0.6,,0
4608.0,64.0,1.79,,2.0,68,2577.0,103.07,1.0,3.0,,3456.0,1.25,,0
1024.0,32.0,0.55,,2.0,7,1863.0,83.75,1.0,2.0,,1024.0,0.9,,0
2325.0,38.5,1.16,,2.0,168,2000.0,100.0,1.0,3.0,,2325.0,1.25,,0
3202.0,54.0,1.52,,4.8,25,2100.0,99.58,1.0,3.0,,3202.0,3.44,,0
3700.0,39.0,0.98,,6.5,77,3788.0,100.0,1.0,3.0,,,6.02,,0
1280.0,40.0,0.51,,2.0,63,2500.0,100.0,1.0,2.0,,1280.0,0.9,,0
3000.0,50.0,1.2,,1.0,99,2500.0,100.0,1.0,2.0,,2000.0,0.6,,0
1480.0,37.0,0.64,,1.0,47,2295.0,112.42,1.0,2.0,,1480.0,0.6,,0
2832.0,52.0,1.13,,2.0,29,2500.0,100.0,2.0,2.0,,1938.0,0.9,,0
2638.0,61.0,0.94,,4.8,51,2800.0,100.0,1.0,2.0,,2638.0,2.43,,0
2215.0,40.0,0.79,,4.8,118,2810.0,112.42,1.0,2.75,,2215.0,2.43,,0
550.0,22.0,0.19,,1.0,44,2885.0,115.42,1.0,1.0,,,0.6,,0
3300.0,47.0,1.61,,2.0,77,2045.0,81.25,1.0,3.0,,2500.0,0.9,,0
31190.0,105.0,4.01,,4.8,10,7785.0,70.08,1.0,5.0,,28070.0,3.44,3120.0,0
2028.0,46.0,0.81,,2.0,1694,2500.0,100.0,1.0,2.0,,2028.0,0.9,,0
3104.0,40.0,1.55,,4.8,46,2000.0,100.0,1.0,4.0,,3104.0,3.44,,0
3018.0,50.0,1.26,,6.5,29,2400.0,120.0,1.0,2.0,,2012.0,6.02,,0
2280.0,40.0,1.2,,6.5,138,1900.0,100.0,1.0,3.0,,2280.0,3.44,,0
2156.0,55.0,0.42,,2.0,22,5150.0,103.0,2.0,2.0,,2156.0,1.25,,0
1856.0,27.0,0.68,,1.0,224,2733.0,44.0,1.0,2.0,,1350.0,0.6,,0
14805.0,80.0,3.44,,4.8,60,4301.0,108.67,1.0,5.0,,14180.0,3.44,625.0,0
31380.0,255.0,0.36,2.0,,260,87175.0,347.0,9.0,1.0,3960.0,,,,0
2090.0,45.0,0.65,,1.0,10,3200.0,100.0,2.0,2.0,,2090.0,0.6,,0
1665.0,32.0,1.03,,2.0,72,1620.0,90.0,1.0,2.0,,1152.0,1.25,,0
29400.0,66.67,3.88,,6.5,28,7586.0,74.0,1.0,5.0,,28000.0,6.02,1400.0,0
3000.0,50.0,1.48,,4.8,8,2025.0,100.0,1.0,3.0,,3000.0,2.43,,0
2060.0,40.0,0.49,,2.0,9,4191.0,125.42,1.0,2.5,,2060.0,1.1,,0
,,,4.2,4.2,128,5049.0,99.0,,,,,4.2,,0
1680.0,42.0,0.64,,1.0,902,2625.0,105.0,1.0,2.0,,1680.0,0.6,,0
3430.0,70.0,0.99,,4.8,62,3450.0,100.0,1.0,2.0,3430.0,,3.44,,0
4560.0,76.0,1.92,,4.8,36,2375.0,95.0,1.0,3.0,,4560.0,2.43,,0
2040.0,37.0,0.82,,2.0,57,2500.0,100.0,2.0,2.0,,1360.0,0.9,,0
13048.0,84.0,3.71,,4.8,10,3520.0,100.0,1.0,4.0,,10048.0,3.44,3000.0,0
1076.0,31.67,0.54,,2.0,30,1984.0,100.0,1.0,2.0,,1076.0,1.25,,0
,,,,1.0,202,878.0,120.0,,,,,0.6,,0
2352.0,56.0,0.94,,2.0,75,2500.0,99.75,1.0,2.0,,2352.0,1.25,,0
3160.0,79.0,1.22,,4.8,34,2600.0,100.0,1.0,2.0,,3160.0,2.43,,0
2300.0,42.0,1.33,,6.5,93,1727.0,69.08,1.0,2.5,,2300.0,6.02,,0
2829.0,55.0,1.13,,2.0,2,2500.0,100.0,1.0,2.75,,2829.0,0.9,,0
3544.0,52.0,0.89,,1.0,41,4000.0,100.0,1.0,2.0,,3544.0,0.6,,0
2829.0,47.15,1.83,,6.5,27,1550.0,77.5,1.0,3.0,,1886.0,6.02,943.0,0
1976.0,46.0,0.79,,2.0,14,2500.0,100.0,1.0,1.0,,988.0,0.9,,0
